Titel,Samenvatting,Locatie,Datum,Link
Water bereikt alarmpeil in Denderleeuw en Erembodegem,"De Dender in Denderleeuw treedt licht buiten haar oevers maar de overlast beperkt zich momenteel tot de Zandplaatstraat Fabriekstraat en Kasteelstraat meldt het gemeentebestuur van Denderleeuw op zijn website ""De gemeentelijke veiligheidscel volgt samen met de bevoegde diensten de situatie op de voet al is deze momenteel nog beheersbaar"" luidt het Ook op andere plaatsen treden nog niet-kritieke overstromingen op langs de onbevaarbare waterlopen meldt de Vlaamse Milieumaatschappij ""Op verscheidene plaatsen wordt zelfs het alarmpeil nog nipt overschreden maar er worden geen woningen bedreigd Waar nodig wordt de beschikbare infrastructuur zoals wachtbekkens aangesproken"" In het Denderbekken geldt op negen plaatsen een waaktoestand en op vier plaatsen een alarmtoestand In Erembodegem deelgemeente van Aalst is het alarmpeil bereikt De waterstanden dalen echter omdat het voorlopig droog blijft zoals op de Molenbeek in Geraardsbergen en Nukerke Hoe is de situatie in uw eigen streek Volg de overstromingsvoorspeller van de Vlaamse Milieumaatschappij ","['Denderleeuw', 'Erembodegem']",2015-01-09,https://www.vrt.be/vrtnws/nl/2015/01/09/water_bereikt_alarmpeilindenderleeuwenerembodegem-1-2203715/
Nieuw overstromingsgebied in woonwijk Beerse moet voorkomen dat straten onder water lopen,"In het gebied rond de Laakbeek in Beerse komen de straten na hevige regenval regelmatig onder water te staan Om te vermijden dat dat in de toekomst nog gebeurt wordt er tussen de Eiken- en de Heibergstraat een overstromingsgebied aangelegd van enkele voetbalvelden groot ""Het is in een gebied waar allemaal huizen staan De Laakbeek wordt er herlegd zodat ze meer kan meanderen er meer overstroming kan gebeuren en de natuur zijn gang kan gaan Het wordt een echt natuurgebiedje tussen de huizen Er komen ook bruggetjes over de beek zodat wandelaars en spelende kinderen er ook terechtkunnen"" zegt gedeputeerde Jan De Haes N-VA van de provincie Antwerpen bevoegd voor onder meer Waterbeleid en Milieu en Natuur De aanleg van het overstromingsgebied Laakland duurt ongeveer zes maanden In het najaar van 2022 wordt het gebied helemaal ingericht en aangeplant met onder meer een wandeldijk en een speelzone ",Beerse,2022-01-23,https://www.vrt.be/vrtnws/nl/2022/01/23/nieuw-overstromingsgebied-in-woonwijk-beerse-moet-voorkomen-dat/
B-Fast-team terug uit Roemenië,"""Alles is perfect verlopen"" zei François Smets luitenant van de Civiele Bescherming van Brasschaat In totaal gingen er acht leden van de Civiele Bescherming en een verpleegkundige van Volksgezondheid naar Roemenië Het team nam vijf generatoren mee elf pompen en een waterzuiveringsstation ""Onze missie was om de pompen en het waterzuiveringsstation naar Roemenië te brengen ze op te stellen en de nodige opleiding te geven zodat de Roemenen het kunnen gebruiken Ons werk is volledig afgerond"" zei Smets De missie een initiatief van de Belgische staat kostte 100000 euro Het team ondervond geen noemenswaardige problemen ""De situatie bleef er wel altijd kritiek al schijnt het waterpeil nu wel te verminderen"" Concreet is het resultaat van de missie dat de doorsijpeling van het water door de dijken nu beter kan worden opgevangen zegt Smets ""Zo kan het water de stad niet bereiken en zullen de huizen er niet overstromen"" ",Brasschaat,2010-07-12,https://www.vrt.be/vrtnws/nl/2010/07/12/b-fast-team_teruguitroemenie-1-824128/
Held Rudi Vranckx sprong 25 jaar geleden de Maas in om landbouwer Albert te redden,"Het regende al dagenlang en dorpen werden geëvacueerd in Limburg De Maas veranderde in die koude en natte decembermaand van 1993 in een grote kolkende stroom die grote delen van Limburg onder water zette Rudi Vranckx trekt met zijn tv-ploeg naar de Maas in Kotem een gehucht van Maasmechelen tegen de Nederlandse grens Het zal toch niet waar zijn hé Vranckx belandt bij de boerderij van Albert Monissen die helemaal weggespoeld dreigt te worden De tv-ploeg interviewt de landbouwer aan de oevers van de Maas en plots verdwijnt Monissen kopje onder in het kolkende water ""Het enige wat door mijn hoofd schoot ""Het zal toch niet waar zijn hé"" Ik heb er amper over nagedacht en ben erachter gesprongen"" vertelt Vranckx vanavond in ""Van algemeen nut"" Hij herinnert zich de omstandigheden nog erg goed en hield er zelf enkel een nat pak aan over Bekijk hier de heldendaad van onze collega 25 jaar geleden ",Maasmechelen,2018-01-11,https://www.vrt.be/vrtnws/nl/2018/01/11/rudi-vranckx-van-algemeen-nut/
Risico op overstromingen neemt (tijdelijk?) af,De Dender De neerslag van de voorbije dagen veroorzaakt dus her en der wat wateroverlast Maar al bij al valt de schade mee en zijn er nergens grote problemen Rond de middag is het trouwens op veel plaatsen gestopt met regenen en zijn de maximale waterpeilen bereikt alle info op overstromingsvoorspellerbe Afgelopen nacht werd op de Poperingevaart bij Oostvleteren het alarmpeil overschreden en waren er overstromingen bij een boerderij die net naast de vaart ligt Ook de Heidebeek in Watou bedreigde enkele straten Op andere plaatsen in het IJzerbekken zijn beken en sloten buiten hun oevers getreden maar daar zijn geen huizen bedreigd Intussen neemt de IJzer -figuurlijk dan- wat gas terug Ook in het Denderbekken heeft het peil van de Bellebeek kritieke waarden bereikt Maar ook hier zijn geen huizen bedreigd Ook de Dender houdt zich intussen koest in vergelijking met deze voormiddag In Asse heeft de brandweer enkele onder water gelopen kelders moeten leegpompen Ook in Erpe Mere gebeurde dat In het Bovenscheldebekken en het Dijle- en Zennebekken wordt eveneens een daling van het waterpeil verwacht In het Demerbekken ten slotte stijgt het water wel nog op sommige plaatsen maar er worden geen kritieke overstromingen verwacht De wachtbekkens worden er momenteel gevuld In het bekken van de Brugse Polders bereiken enkele traag reagerende waterlopen rond 17 uur hun maximum De Rivierbeek zorgt voor beperkte wateroverlast nabij een loods in Oostkamp Vanaf morgenmiddag wordt opnieuw veel regenval verwacht en ook de komende dagen sparen de regenwolken ons land niet zo zijn de voorspellingen Het blijft dus bang afwachten voor wie in de buurt van een waterloop woont Wie vandaag al zandzakjes bij zijn woning plaatste laat die best nog even staan ,"['Oostvleteren', 'Watou', 'Asse', 'Erpe', 'Mere', 'Oostkamp']",2012-12-22,https://www.vrt.be/vrtnws/nl/2012/12/22/risico_op_overstromingenneemttijdelijkaf-1-1510715/
Berwijn in Voeren net niet overstroomd: werken moeten riviertje dieper en breder maken,"Boosdoener in Voeren is het riviertje de Berwijn Die stond gisteravond op alarmpeil na de vele en intense regenbuien Op de Driesch trad de Berwijn lichtjes buiten haar oevers en stond de Bijstraat blank De brandweer kwam er preventief zandzakjes leggen ""Gelukkig zijn er geen woningen onder water gelopen en met de lage standen die de volgende uren berekend werden is het gevaar nu wel geweken” zegt burgemeester Joris Gaens Voerbelangen Voeren Zware wateroverlast in Voeren rivier Berwijn buiten de oevers tientallen huizen onder water Update wo 14 jul 2021 2026 In Ottograeven vlakbij het politiekantoor in Sint-Martens-Voeren stond er door de hevige regenbuien water op de weg Maar binnenkort starten er werken aan de Berwijn ""Die werken zullen kleine overstromingen zoals die van gisteren tegenhouden Er stroomde zon 40 m³ water per seconde door de Berwijn"" legt de burgemeester uit ""Maar extreme regenval waarbij er meer dan 40 m³ water per seconde stroomt zoals tijdens de overstromingen van 14 juli vorig jaar ga je niet kunnen vermijden door de werken die nu uitgevoerd zullen worden toen stroomde er 90 tot 100 m³ door de Berwijn"" Volgende week krijgen de inwoners van Moelingen meer informatie over de werken die over enkele weken zullen starten De Berwijn zal breder en dieper worden De werken zullen zon half jaar duren ",Voeren,2022-02-07,https://www.vrt.be/vrtnws/nl/2022/02/07/riviertje-berwijn-in-voeren-net-niet-overstroomd/
Vlaamse overheid is sinds watersnood vorige zomer strenger voor bouwen in overstromingsgevoelig gebied,"Vorige zomer werd een groot stuk van de provincie Luik delen van Namen en Limburg getroffen door hevige overstromingen In de nasleep daarvan riep Vlaams minister van Omgeving Zuhal Demir N-VA eind juli steden en gemeenten op om niet langer bouwvergunningen af te leveren in gebieden waarvan duidelijk is dat ze gevoelig zijn voor watersnood Waar een waterproblematiek is ging de Vlaamse overheid ook in het verleden al in beroep Maar sinds de overstromingen vorige zomer in Wallonië gebeurt dat vaker Bekijk het verslag uit ""Het journaal"" hier Videospeler inladen Noodweer Vlaams minister van Omgeving Demir N-VA roept lokale besturen op niet langer in overstromingsgevoelig gebied te bouwen zo 01 aug 2021 1147 De minister zei toen ook dat haar administratie sneller zou ingrijpen en dat laatste lijkt nu te zijn gebeurd Van juli tot december heeft de Vlaamse overheid 44 keer een beroep aangetekend tegen een omgevingsvergunning voor bouwprojecten in overstromingsgevoelig gebied Ter vergelijking in dezelfde periode in 2020 ging het maar om 21 gevallen Het gaat telkens om projecten van een of meerdere gebouwen die gepland werden in effectief overstromingsgevoelig gebied of in gebied waar nog een zogenoemde watertoets voor is Zo’n watertoets is nodig als het watersysteem op het betreffende terrein en de ruime omgeving beter moet onderzocht worden ""Het is niet onze bedoeling om overal bouwprojecten te gaan blokkeren"" benadrukt Brigitte Borgmans van het departement Omgeving aan VRT NWS ""Het gaat wel om bewustwording creëren We zien er erg nauw op toe dat bij projecten met een zekere waterproblematiek daar voldoende rekening mee wordt gehouden in de vergunningsaanvraag Het kan niet zijn dat bijvoorbeeld de buren door zon project plots wateroverlast krijgen"" ""De Vlaamse regering werkt aan betere kaarten en hulpmiddelen voor de gemeenten zodat ze bij bouwaanvragen de watertoets beter kunnen beoordelen"" zegt minister Zuhal Demir Videospeler inladen Sociale woningen in Brugge Vlakbij de Assebroekse Meersen een natuurgebied bij Brugge wil het stadsbestuur bijvoorbeeld sociale woningen bouwen Het gaat om overstromingsgevoelig gebied en daarmee was bij dit project te weinig rekening gehouden dus ging de Vlaamse overheid in beroep tegen de omgevingsvergunning Het kan niet zijn dat bijvoorbeeld de buren door zon project plots wateroverlast krijgen ""We zijn in dit specifieke geval in beroep gegaan omdat de waterproblematiek in dit gebied onvoldoende bestudeerd was in de vergunning"" zegt Borgmans van het departement Omgeving ""Er werd onvoldoende rekening mee gehouden Er was bijvoorbeeld sprake van ondergrondse garages terwijl dat moeilijk is in zon gebied"" Wat ook heeft bijgedragen aan de toename is dat de omgevingsvergunningen intussen volledig digitaal moeten worden ingediend Hierdoor is het gemakkelijker voor de administratie om na te gaan welke aanvragen gaan over bouwwerken die in overstromingsgevoelig gebied liggen Toen dat nog op papier gebeurde was het niet altijd evident om dat structureel uit te pluizen Een belangrijke kanttekening is dat het wel nog altijd mogelijk blijft om te bouwen in overstromingsgevoelige gebieden Alleen moeten de omgevingsvergunningen in dat geval zeer goed onderbouwd en gemotiveerd zijn ",Brugge,2022-02-09,https://www.vrt.be/vrtnws/nl/2022/02/09/bouwen-in-overstromingsgevoelig-gebied/
Vijvers tegen overstromingen aan E40 in Aalter,De twee vijvers worden aangelegd op de afritten richting kust en richting Brussel Die moeten ervoor zorgen dat er bij regenweer geen wateroverlast is Geen overlast meer Het water dat van de verschillende banen daar komt stroomt dan met vertraging af naar de beken in de buurt Het gemeentebestuur van Aalter zal volgend jaar ook een terrein van ruim 25 hectare omvormen tot natuurlijk overstromingsgebied Op die manier wordt nog een derde waterbuffer gerealiseerd rond het verkeerscomplex ,Aalter,2018-12-26,https://www.vrt.be/vrtnws/nl/2018/12/26/vijvers-tegen-overstromingen-aan-e40-in-aalter/
"Experts en hulpverleners over trage aanpak overstromingsramp: ""We zijn niet klaar voor meer crisissituaties""","Twee weken na de verwoestende overstromingsramp is het Rode Kruis voor de eerste keer ter plaatse geweest in het zwaar getroffen Pepinster Rijkelijk laat dus Intussen zijn allerlei spontane hulpverleningsinitiatieven opgestart om de getroffen bewoners zo goed en zo kwaad als mogelijk te helpen ""Ze zijn voor een stuk de taken van de officiële organisaties aan het overnemen"" bevestigt Bert Burgghemans commandant van de brandweerzone Antwerpen ""In een land als België met professionele hulpdiensten en alle capaciteit die beschikbaar is zou je een volledig professionele organisatie verwachten waarin burgerhulpverlening een plaats heeft"" We gaan de volgende jaren meer en meer crisisituaties tegenkomen en daar zijn we niet klaar voor Hugo Marynissen Antwerp Management School COVID-19 Experts pleiten voor oprichting van Belgisch agentschap voor crisismanagement do 20 mei 2021 0536 Hugo Marynissen vindt dat het crisisbeheer in ons land dringend moet worden herbekeken ""We gaan de volgende jaren meer en meer crisissituaties tegenkomen en daar zijn we niet klaar voor"" waarschuwt hij Marynissen herhaalt zijn pleidooi voor een overkoepelende structuur die los van het soort crisis meteen de problemen kan aanpakken en er sturing aan geven Marynissen was trouwens lid van een expertencommissie die in mei bij de Bijzondere Kamercommissie COVID-19 de oprichting heeft bepleit van een Belgisch agentschap voor crisismanagement een Belgian Emergency Management Agency BEMA naar het voorbeeld van het Amerikaanse Federal Emergency Management Agency FEMA Die aanbeveling is echter gesneuveld in het rapport met de politieke aanbevelingen van de Kamercommissie Hugo Marynissen en Bert Brugghemans maken in ""Terzake"" duidelijk waar het schort in het Belgische crisisbeheer Videospeler inladen We werken eigenlijk met recepten die komen uit de jaren 70 80 en 90 vanuit een totaal ander type crisissen Bert Brugghemans commandant brandweerzone Antwerpen Van het witte huis links tot het lagere huis met bruine bakstenen helemaal rechts allemaal moeten ze worden afgebroken Copyright 2021 The Associated Press All rights reserved Noodweer 50-tal woningen in Pepinster moeten helemaal afgebroken worden na zware overstromingen vr 30 jul 2021 1224 De aanpak van de hulpverlening na de watersnood verloopt op zijn zachtst gezegd chaotisch zo blijkt Pijnlijk is het verhaal van de wooncontainers waarnaar het Waals Gewest op zoek is ""Je zit daar met een bureaucratisch proces van openbare aanbestedingen"" duidt Hugo Marynissen ""Dat werkt natuurlijk niet Als het brandt ga je niet wachten tot je een bestelling via een openbare aanbesteding gaat plaatsen"" ""We hebben in België een onvoorstelbare luxe op het vlak van expertise van crisismanagement"" zegt Bert Brugghemans Volgens hem worden crisisplannen nu te veel opgemaakt op basis van een voorbije crisis ""In crisismanagement is het de bedoeling dat je structuren en systemen in kaart gaat brengen mensen doet samenwerken om élke crisis aan te kunnen"" Dat is nu niet het geval ""We werken eigenlijk met recepten die komen uit de jaren 70 80 en 90 vanuit een totaal ander type crisissen"" vindt Brugghemans Werk aan de winkel dus voor de dames en heren van de politiek het crisisbeheer in ons land moet dringend op een hoger niveau worden getild ""Terzake"" schetst een onthutsend beeld van de amateuristische hulpverlening in Pepinster Videospeler inladen ",Antwerpen,2021-07-30,https://www.vrt.be/vrtnws/nl/2021/07/30/experts-en-hulpverleners-over-trage-aanpak-overstromingsramp-w/
"Na noodweer, afvalberg: nog 160.000 ton moet er geruimd worden en Wallonië wil dat al voor volgende zomer klaarspelen","Het noodweer anderhalve maand geleden heeft een grote puinhoop achtergelaten in de provincies Namen en Luik 160000 ton afval is de voorbije weken samengebracht op drie sites Het grootste deel -zowat 90000 ton- ligt op een ongebruikt stuk snelweg in de buurt van Luik Bekijk hier de reportage uit ""Het journaal"" Videospeler inladen Het verwerken van al dat afval zou voor volgende zomer al afgerond moeten zijn Sneller dan gepland want de Waalse regering wil voorkomen dat bij een hete zomer volgend jaar het afval nog meer zou gaan stinken en de bodem vervuilen ""We moeten een evenwicht vinden tussen de omwonenden het milieu en de meest efficiënte verwerking van de astronomische hoeveelheid afval"" zegt Céline Tellier Ecolo Waals minister van Milieu daarover aan VRT NWS Valentin Bianchi / Hans Lucas Noodweer Spooksnelweg vergeten stuk autoweg in Luik wordt opslagplaats voor puin na noodweer Update do 22 jul 2021 1351 Minstens de helft van het afval van het noodweer moet gesorteerd worden voor recyclage Dat is een pak meer dan tot nog toe gedacht werd Initieel werd ervan uitgegaan dat slechts 30 procent van het afval zou kunnen worden gerecycleerd ""Het gaat voornamelijk om hout"" zegt Philippe Tychon van afvalbeheerder Suez Recycling ""Er is niet veel kunststof of papier bij Wel nog veel gevaarlijk afval dat eerst moet uitgesorteerd worden"" Vanaf volgende week kunnen alle afvalverwerkers in ons land intekenen om een deel van het werk voor hun rekening te nemen ""Zodra het werk is toegekend gaan onze leden het afval ophalen en sorteren op hun sites"" legt Aarnout Ecker van Denuo de Belgische federatie van de afval- en recyclagesector uit ""Er is niet genoeg ruimte om ter plaatse al een extra sortering te doen"" 160000 ton afval is dat veel 160000 ton afval is natuurlijk niet weinig Zeker niet omdat het op korte tijd in een relatief klein gebied is geproduceerd Elke Belg produceert gemiddeld gezien zon kilo afval per dag Dus 160000 ton is vergelijkbaar met wat een stad iets kleiner dan Antwerpen op jaarbasis produceert In verhouding met het afval wat normaal op jaarbasis in heel ons land wordt geproduceerd valt die 160000 ton afval nog goed mee In 2018 het jaar met de meest recente cijfers is in ons land bijvoorbeeld 4885123 ton huishoudelijk afval geproduceerd Met landbouw industrie bouw… erbij gaat het zelfs om 67429779 ton afval een aantal dat al jaren in de lift zit In 2016 red de cijfers worden tweejaarlijks bijgehouden ging het ""slechts"" om 63152377 ton een stijging van ruim 4 miljoen ton dus Grote boosdoener hierbij is trouwens de industrie want de hoeveelheid huishoudelijk afval daalt wel degelijk al jaren ",Antwerpen,2021-09-03,https://www.vrt.be/vrtnws/nl/2021/09/03/afval-watersnood/
"Wat met de af te breken huizen in de vallei van de Vesder? ""Heropbouwen op zelfde plek geen goede oplossing"" ","""Daarover moet men goed nadenken want wederopbouw is een heel complex proces"" waarschuwt Vloebergh ""Men kan niet gewoon alles zomaar herstellen op dezelfde plaats"" Eigenlijk moet je dit goed analyseren en de wederopbouw zien als een kans voor de toekomst van heel die vallei Guy Vloebergh Universiteit Antwerpen Van het witte huis links tot het lagere huis met bruine bakstenen helemaal rechts allemaal moeten ze worden afgebroken Copyright 2021 The Associated Press All rights reserved Noodweer 50-tal woningen in Pepinster moeten helemaal afgebroken worden na zware overstromingen vr 30 jul 2021 1224 In veel Ardense valleien is vaak veel gebouwd langs de rivieren dorpen maar ook infrastructuur en bedrijven ""Er moet worden nagedacht over het water de natuur het milieu maar ook over huisvesting economie en grondbeleid"" vindt Vloebergh ""Dit is een complexe opgave die zich niet alleen tot de dorpen zelf beperkt maar tot heel de vallei Volgens Vloebergh moet er op twee sporen worden gewerkt bij de wederopbouw ""Uiteraard moet er voor het acute probleem een oplossing op korte termijn komen in een soort crisisbeheer Daarnaast is het superbelangrijk om op lange termijn een heel proces op gang te brengen"" Vloebergh heeft het hier over een termijn van 10 à 15 jaar In mensentaal betekent dit dat er wellicht een soort noodwoningen moeten komen voor wie zijn huis is verloren terwijl er op lange termijn een structurele oplossing moet komen voor de ruimtelijke planning in heel de vallei ""Eigenlijk moet je dit goed analyseren en de wederopbouw zien als een kans voor de toekomst van heel die vallei voor heel de maatschappij daar"" zegt Guy Vloebergh Dat daarbij rekening moet worden gehouden met de overstromingsrisicos in de toekomst lijkt nogal evident Guy Vloebergh legt in ""De wereld vandaag"" uit hoe de wederopbouw best wordt aangepakt 50 woningen in Pepinster moeten volledig worden afgebroken ""Dit is kans om toekomstplan te bedenken voor riviervallei"" Is een huis heropbouwen op dezelfde plek dan wel een goed idee ""Het lijkt mij weinig waarschijnlijk dat dit een goede oplossing is"" aldus Vloebergh ",Antwerpen,2021-07-30,https://www.vrt.be/vrtnws/nl/2021/07/30/wat-met-de-af-te-breken-huizen-in-de-vallei-van-de-vesder-hero/
Elf maanden na de overstromingen maakt Galler weer chocolade in Vaux-sous-Chèvremont ,"De fabriek van Galler staat net naast de Vesder de rivier die in juli vorig jaar een ware ravage aanrichtte in Wallonië In de ruim 3500 vierkante meter grote ateliers van de chocoladefabriek in Vaux-sous-Chèvremont stond het water 180 meter hoog Het productieatelier de boetiek in Vaux en een deel van de kantoren werden van de kaart geveegd De verliezen liepen op tot 14 miljoen euro Noodweer In afwachting van heropbouw fabriek na noodweer Luikse chocolatier Galler maakt chocolade in Vlaanderen do 26 aug 2021 1132 Galler kon uitwijken naar ateliers van andere chocolatiers waardoor de productie al enkele weken na de overstromingen opnieuw verzekerd werd Chocolaterie Cavalier in Eeklo maakte in haar lokalen ruimte vrij voor een deel van de Galler-teams Ook chocolaterie Libeert de ambachtelijke chocolatier Deremiens en de firma Fournipac stelden materiële en structurele middelen ter beschikking Vandaag bijna een jaar na de ramp zijn de ateliers van Galler zelf hersteld en de productielijn gerestaureerd Galler kiest er wel voor om voet aan de grond te houden in Vlaanderen Eén van haar productielijnen zal permanent geïnstalleerd worden in de ateliers van Cavalier BEKIJK - Fabriek van Galler draait weer ""Je ziet er is geen modder meer en er wordt chocolade gemaakt"" Videospeler inladen Bekijk het journaalverslag over de schade in de chocoladefabriek na de overstromingen Videospeler inladen ",Eeklo,2022-06-16,https://www.vrt.be/vrtnws/nl/2022/06/16/galler/
Poldergehuchten verdwijnen voor havenuitbreiding,"Ouden Doel en Rapenburg verdwijnen Op de rechterscheldeoever is er geen plaats voor uitbreiding maar kiest de Vlaamse regering voor inbreiding en verdichting Op de linkerscheldeoever voorziet het plan in de verlenging van het Verrebroekdok en de bouw van de Deurganckdoksluis Er is ook plaats voor nieuw havengebied In de zogenaamde ""Saeftinghezone"" is de verdere ontwikkeling van een Saeftinghedok mogelijk gemaakt Door de havenuitbreiding is de bewoning in Doel-centrum zoals eerder beslist niet langer mogelijk Maar ook in de gehuchten Ouden Doel en Rapenburg zullen de bewoners moeten vertrekken De gehuchten komen midden in overstromingsgebied te liggen Er zouden hoge dijken nodig zijn om de gehuchten te behouden en ook de kosten voor de bereikbaarheid en de nutsleidingen zouden zeer hoog oplopen In beide woonzones samen zouden nog 18 woningen staan Voor de bewoners komt er een sociaal begeleidingsplan dat hen moet helpen elders een nieuwe woonst te vinden ",Doel,2013-03-15,https://www.vrt.be/vrtnws/nl/2013/03/15/poldergehuchten_verdwijnenvoorhavenuitbreiding-1-1575492/
"Modder ruimen na overstromingen in Sint-Truiden en Huldenberg: ""De modder stond tot boven het bad""","Binnenland Brandweer krijgt 150 oproepen in regio Sint-Truiden na onweer ook elders in ons land wateroverlast Update ma 10 jun 2019 2201 Ondermeer Huldenberg in Vlaams-Brabant en Sint-Truiden in Limburg werden getroffen Onze reporter ging kijken in Velm een deelgemeente van Sint-Truiden Daar waren er gisteren heuse modderstromen Op sommige plaatsen lag de smurrie tientallen centimeters dik De modder was van over de ondergelopen velden de huizen binnen gestroomd Herbekijk hieronder de reportage in ""Het Journaal"" Videospeler inladen ","['Sint-Truiden', 'Huldenberg']",2019-06-11,https://www.vrt.be/vrtnws/nl/2019/06/11/modder-ruimen-na-overstromingen-in-sint-truiden-en-huldenberg/
"""Het huis was een boot op het water""","Door de hevige regenval kon de Voer de rivier die door Bertem loopt het vele water niet slikken en stroomde over De Dorpstraat stond helemaal blank de huizen van honderden bewoners liepen waterschade op ""We hebben 25 jaar geleden ook een overstroming gehad maar dit was dubbel zo erg"" zegt een vrouw wiens huis blank stond en die nu de achtergebleven modder probeert weg te krijgen ""Het water stond echt een meter hoog ons huis was een boot op het water"" ""De oudere mensen zeggen dat ze dit nog nooit hebben meegemaakt"" zegt burgemeester Albert Mees Open VLD ""Dit is ongezien een echte ramp"" Dat precies de Dorpstraat te lijden had onder de overstroming is volgens Mees makkelijk te verklaren ""Bertem ligt in de Voervallei en de Dorpstraat volgt de Voer En door de grote reliëfverschillen in de gemeente is daar ook nog eens al het water van de hellingen bij gekomen"" Volgens veel bewoners is Aquafin die bezig is met rioleringswerken in Bertem de schuldige ""Maar ik denk dat dit daar weinig mee te maken heeft"" zegt Mees "" Want in Leefdaal dat iets stroomopwaarts ligt staan ook enkele straten blank Dit is gewoon een natuurramp waar weinig tegen te beginnen valt"" De Civiele Bescherming de brandweer en het gemeentepersoneel zijn momenteel druk in de weer om de modder van de straten te verwijderen en het water uit de huizen te pompen ""Veel mensen wachten nog op hulp Het water is nu wel uit de straten weggetrokken maar op sommige plaatsen ligt nog 30 tot 40 centimeter modder"" aldus nog de burgemeester De buurtbewoners worden ook geïnformeerd over wat ze precies moeten doen om aanspraak te maken op een vergoeding van het Rampenfonds Ook in Galmaarden probeert men vandaag nog volop modder weg te krijgen Het politiekantoor van Vollezele deelgemeente van Galmaarden liep onder water In Herent stonden enkele straten blank en reed een politiewagen zich vast onder een spoorwegbrug Ook rond Tervuren en Leuven viel er in korte tijd bijzonder veel regen Op de E314 ter hoogte van Gasthuisberg was de rijweg versperd door een modderstroom Op de E40 gebeurden er verschillende ongevallen tussen Boutersem en Haasrode Problemen met treinverkeer In Leuven is er een tijd geen treinverkeer mogelijk geweest Omstreeks 1945 uur sloeg de bliksem in in het tractie-onderstation van Leuven Daardoor was het treinverkeer van en naar Leuven ernstig verstoord Het probleem werd in de loop van de avond opgelost Vertraging bij bagageafhandeling Brussels Airport Door het zware onweer liep de bagageafhandeling op Brussels Airport een stevige vertraging op Zolang het onweerde mocht de bagage immers niet uit het vliegtuig worden gehaald ""Volgens de reglementen is het verboden om tijdens een zwaar onweer een vliegtuig af te handelen"" zegt Jan Van der Cruysse woordvoerder van Brussels Airport Company ""Een vliegtuig is immers volledig van metaal gemaakt en is een perfecte geleider voor blikseminslagen In een onweer is het voor het luchthavenpersoneel gewoonweg niet veilig om een toestel af te handelen"" ""Donderdagavond was het onweer uitzonderlijk hevig en heeft het zeer lang geduurd Al de gelande vliegtuigen hebben moeten wachten tot het onweer voorbij was vooraleer de bagage er kon worden uitgehaald"" ","['Bertem', 'Leefdaal', 'Galmaarden', 'Vollezele', 'Herent', 'Tervuren', 'Leuven', 'Boutersem', 'Haasrode']",2009-05-15,https://www.vrt.be/vrtnws/nl/2009/05/15/_het_huis_was_eenbootophetwater-1-528255/
"Burgemeester van Lanaken vraagt steun van Vlaamse overheid voor opruimingswerken: ""Onmogelijke klus zonder hulp""","In Lanaken is vandaag voor het eerst opgeruimd aan de Maas De technische dienst van de gemeente verzamelde het grofvuil en een aannemer voerde het af ""Maar het is een onmogelijke klus"" zegt burgemeester Marino Keulen ""Zeker omdat het bouwverlof is We kunnen niet aan het juiste materieel geraken"" Keulen doet dan ook een oproep aan de Vlaamse overheid om de Maasgemeenten te ondersteunen ""Ik denk aan Agentschap Natuur en Bos Agentschap Wegen en Verkeer en de Vlaamse Waterweg en vraag hen om dringend een helpende hand toe te steken Alleen krijgen we dit niet klaar In normale omstandigheden zou het ons wel lukken Alleen zijn heel wat bedrijven momenteel in bouwverlof Dat maakt het enorm moeilijk"" zegt de burgemeester ",Lanaken,2021-07-20,https://www.vrt.be/vrtnws/nl/2021/07/20/marino-keulen/
Telecomprovider Orange verhuist gsm-mast van Keerbergen naar rampgebied in Wallonië,"""Door de wateroverlast zijn er in die regio een 60-tal gsm-stations onbruikbaar geworden"" weet de Keerbergse schepen Jens Eggers Open VLD ""Orange liet ons weten dat ze de mast zouden verhuizen om te proberen de communicatielijnen in het rampgebied te herstellen"" Dat is afgelopen zondag ook gebeurd De mast in kwestie stond een tijdlang op het terrein van restaurant The Lake en daarvoor naast de school aan de overkant nadat het contract voor een permanente plek in Keerbergen was afgelopen Geen gsm-ontvangst Klanten van Orange die in Keerbergen wonen zitten door de verhuis van de mast nu zonder gsm-signaal ""Het is lastig voor sommige inwoners maar de communicatielijnen in het rampgebied zijn nu even prioritair Dus we zijn graag solidair"" vindt Eggers ""De dekking van Orange was sowieso al niet erg goed op die plek waardoor veel mensen al waren veranderd van provider"" Hoelang Keerbergen een blinde vlek zal blijven op het Orange-netwerk is nog niet duidelijk ""Daarover hebben we geen gegevens gekregen Er staat daar vlakbij ook een mast van Proximus en Orange is in gesprek met hen om eventueel hun antennes daarbij aan te hangen"" aldus de schepen ",Keerbergen,2021-07-20,https://www.vrt.be/vrtnws/nl/2021/07/20/gsmmast-verplaatst-keerbergen/
